date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-11-03,44.23,45.05,43.89,44.75,14544992.0,657068135.0,1861566272.0,0.007813308727587433
2023-11-06,45.14,47.7,45.14,47.38,38561968.0,1833207133.0,1861566272.0,0.020714797308059522
2023-11-07,47.15,47.15,46.39,46.58,18362963.0,868667318.0,1861566272.0,0.0098642542445032
2023-11-08,46.85,47.21,46.08,46.66,17214747.0,813555413.0,1861566272.0,0.009247453211270901
2023-11-09,46.73,47.96,46.31,47.35,26390774.0,1266602180.0,1861566272.0,0.014176650273990354
2023-11-10,46.9,47.12,46.49,46.67,14349371.0,680314407.0,1861566272.0,0.007708224636334623
2023-11-13,46.77,47.44,46.43,46.82,13246374.0,628527216.0,1861566272.0,0.007115714438556394
2023-11-14,46.78,46.98,45.73,46.28,20392774.0,953839329.0,1861566272.0,0.010954632293638805
2023-11-15,47.33,47.35,46.21,46.36,17980439.0,853473914.0,1861566272.0,0.009658769215174091
2023-11-16,46.33,46.37,44.9,44.9,18742561.0,860535604.0,1861566272.0,0.010068167479132325
2023-11-17,44.87,45.2,44.5,44.91,11087882.0,504197001.0,1861566272.0,0.005956211265091077
2023-11-20,44.9,45.09,43.93,44.83,14588116.0,658931962.0,1861566272.0,0.007836474166631227
2023-11-21,45.2,45.49,44.24,44.24,15541680.0,705507466.0,1861566272.0,0.008348711638024349
2023-11-22,43.91,44.24,43.12,43.12,14732345.0,650015361.0,1861566272.0,0.007913951397589568
2023-11-23,43.22,44.38,42.83,44.01,17756059.0,781776945.0,1861566272.0,0.009538236305132198
2023-11-24,43.9,43.9,42.92,42.92,11738416.0,514899459.0,1861566272.0,0.006305666457626925
2023-11-27,42.62,42.9,41.85,41.85,14516401.0,619831134.0,1861566272.0,0.007797950155383993
2023-11-28,41.96,42.27,41.12,42.18,16940804.0,714596687.0,1861566272.0,0.009100295946917542
2023-11-29,41.69,41.87,41.06,41.06,15385489.0,644141095.0,1861566272.0,0.008264808635295258
2023-11-30,41.15,42.04,40.95,41.63,17412225.0,732766714.0,1861566272.0,0.009353534849604323
2023-12-01,41.49,41.51,40.66,41.05,14992487.0,623404292.0,1861566272.0,0.008053695012368595
2023-12-04,40.5,41.09,40.17,40.44,12871222.0,530305705.0,1861566272.0,0.00691418951535452
2023-12-05,40.26,41.39,39.89,39.89,16811782.0,691489055.0,1861566272.0,0.009030987643506252
2023-12-06,39.8,42.85,39.75,42.11,39779834.0,1690856603.0,1861566272.0,0.021369013071590504
2023-12-07,41.79,42.27,41.4,41.57,20068109.0,848617424.0,1861566272.0,0.010780228080969442
2023-12-08,42.09,42.09,40.69,41.04,21920516.0,912459763.0,1861566272.0,0.011775307884392095
2023-12-11,41.07,41.14,39.97,41.0,17052900.0,699055648.0,1861566272.0,0.009160511906825094
2023-12-12,40.64,41.38,40.51,40.63,13074507.0,541418667.0,1861566272.0,0.007023390569895327
2023-12-13,40.52,40.62,39.27,39.4,17765198.0,717161833.0,1861566272.0,0.009543145611954877
2023-12-14,39.87,40.62,38.78,38.83,18316130.0,734584839.0,1861566272.0,0.009839096397208468
2023-12-15,39.16,39.85,38.8,38.8,19301061.0,767669017.0,1861566272.0,0.010368183658196403
2023-12-18,38.64,38.94,37.71,37.83,18439198.0,712303709.0,1861566272.0,0.009905206318649933
2023-12-19,37.79,38.63,37.65,38.11,13726571.0,530227654.0,1861566272.0,0.007373667650979014
2023-12-20,38.12,38.23,37.38,37.39,13419497.0,513100442.0,1861566272.0,0.00720871300788157
2023-12-21,37.13,38.65,37.12,38.22,23336275.0,898069168.0,1861566272.0,0.012535828216810322
2023-12-22,38.18,39.75,37.39,38.97,28113161.0,1103188199.0,1861566272.0,0.015101885666308419
2023-12-25,38.88,39.82,38.84,39.32,14790737.0,590761250.0,1861566272.0,0.007945318532285913
2023-12-26,39.32,39.49,38.99,39.25,10652419.0,423787674.0,1861566272.0,0.005722288354824684
2023-12-27,39.36,39.36,38.36,38.51,14508822.0,567159812.0,1861566272.0,0.007793878852570874
2023-12-28,38.51,41.77,38.3,41.61,42968902.0,1769093356.0,1861566272.0,0.023082123181054282
2023-12-29,41.58,42.38,41.44,41.64,24112542.0,1022727602.0,1861566272.0,0.012952824920970635
2024-01-02,41.71,41.71,40.31,40.31,19361591.0,798862107.0,1860594727.0000002,0.01040613021150414
2024-01-03,40.06,40.54,39.88,40.38,13904277.0,566521946.0,1860594727.0000002,0.007473028273287156
2024-01-04,40.34,40.34,38.88,39.08,17091666.0,680686509.0,1860594727.0000002,0.009186130516213163
2024-01-05,38.91,40.96,38.68,38.97,24625197.0,993189010.0,1860594727.0000002,0.013235121352679183
2024-01-08,39.12,40.12,38.63,38.63,20253341.0,806026734.0,1860594727.0000002,0.010885412446941755
2024-01-09,38.63,39.6,37.69,38.63,22392979.0,875665883.0,1860594727.0000002,0.012035387758034852
2024-01-10,38.43,39.72,37.85,38.71,20682743.0,816601894.0,1860594727.0000002,0.0111161999439548
2024-01-11,38.62,41.44,38.17,40.78,37380202.0,1519110480.0,1860594727.0000002,0.020090458957857722
2024-01-12,40.54,41.04,40.16,40.22,23853333.0,979845609.0,1860594727.0000002,0.012820273353381376
2024-01-15,39.87,40.06,38.98,39.38,15339414.0,613891643.0,1860594727.0000002,0.008244360675327227
2024-01-16,39.26,40.65,38.94,40.02,23539863.0,951160795.0,1860594727.0000002,0.01265179496555673
2024-01-17,39.78,39.78,38.0,38.0,26894092.0,1053552498.0,1860594727.0000002,0.014454567461536182
2024-01-18,37.76,39.07,37.46,38.93,25870139.0,1003414022.0,1860594727.0000002,0.013904231063640974
2024-01-19,38.48,41.25,38.38,39.74,38791151.0,1582806908.0,1860594727.0000002,0.02084879121556276
